region,category,channel,units,unit_price,discount,revenue,high_value
East,Grocery,Retail,15,707.4559718323972,0.137,9201.48,1
South,Electronics,Partner,20,362.8309720607538,0.036,7217.96,1
North,Apparel,Retail,16,837.7931415166826,0.171,10915.18,1
West,Home,Online,15,251.33807385259263,0.047,3456.63,1
West,Toys,Partner,12,536.8577504831597,0.018,6465.84,1
South,Electronics,Partner,6,196.77364846321518,0.15,1019.79,0
East,Home,Retail,7,495.4885917304083,0.197,2795.28,0
North,Electronics,Online,18,166.36784861925076,0.256,2284.2,1
East,Toys,Retail,2,175.11547939666104,0.235,275.22,0
East,Toys,Retail,3,607.7344419603351,0.257,1364.17,0
North,Home,Online,10,273.2346004887361,0.228,2188.0,0
South,Apparel,Partner,19,185.4725375016774,0.211,2829.29,1
North,Electronics,Partner,16,912.5775201296702,0.003,14763.42,1
South,Grocery,Online,15,61.283120710449026,0.188,738.15,0
North,Toys,Retail,13,562.5421881880517,0.036,6769.06,1
South,Apparel,Retail,3,546.3332881599347,0.018,1576.14,0
North,Home,Retail,8,260.5845194269374,0.047,2028.64,0
East,Toys,Retail,2,454.6608753083051,0.247,696.22,0
South,Toys,Retail,19,104.22827175933006,0.223,1517.92,1
West,Home,Partner,19,712.4193400869302,0.285,9775.45,1
North,Apparel,Retail,7,232.82926244175027,0.294,1122.59,0
West,Toys,Retail,8,205.64994543349368,0.268,1181.51,0
East,Toys,Online,8,322.2833391464029,0.04,2563.73,0
South,Home,Retail,22,886.2751234526163,0.264,14250.89,1
South,Electronics,Online,12,784.6079823522009,0.252,6898.96,1
North,Home,Retail,19,929.0165994884073,0.261,13030.87,1
West,Toys,Retail,11,645.883852191762,0.046,6716.64,1
South,Grocery,Online,17,656.4046505908041,0.035,10966.05,1
North,Home,Partner,13,480.8297594491683,0.277,4686.39,1
West,Apparel,Online,7,888.9788704322964,0.052,5942.56,0
West,Home,Online,22,510.44206329951584,0.111,10056.02,1
East,Electronics,Online,18,360.85766796322366,0.137,5544.95,1
East,Electronics,Retail,19,634.7600095209585,0.037,11674.25,1
North,Toys,Retail,23,544.293913664925,0.006,12263.79,1
South,Grocery,Online,6,139.05902269749964,0.298,562.34,0
East,Grocery,Retail,3,397.0163973559324,0.263,903.51,0
South,Home,Partner,14,320.79239465070077,0.274,3242.13,1
South,Electronics,Online,8,832.9604240106866,0.085,6093.41,1
West,Grocery,Retail,11,383.6888546941844,0.066,3810.67,0
North,Home,Online,6,808.6930233333369,0.128,4345.19,0
East,Apparel,Retail,10,444.69401014490774,0.136,3740.83,0
South,Grocery,Online,10,743.3605409077857,0.002,7365.69,0
North,Toys,Partner,9,149.87065137074234,0.234,1061.33,0
West,Toys,Retail,18,907.6642108721239,0.299,11414.23,1
East,Apparel,Online,15,481.3374951669615,0.159,6281.51,1
South,Grocery,Retail,12,269.4063158012541,0.116,2791.4,0
West,Home,Online,3,251.8300221102146,0.118,677.82,0
South,Home,Retail,14,274.47419703197306,0.029,3873.88,1
North,Toys,Online,5,372.05520600124896,0.08,1718.25,0
South,Toys,Online,8,708.8187513685921,0.151,4888.32,0
South,Electronics,Retail,10,931.6189211847618,0.13,8035.85,0
East,Apparel,Online,4,662.2759329186869,0.164,2259.18,0
