order_date,region,category,channel,units,unit_price,discount,revenue,customer_satisfaction
2024-01-01,West,Electronics,Partner,11,759.35,0.26,8352.84,2.0
2024-01-02,South,Apparel,Retail,4,563.11,0.096,2252.43,1.0
2024-01-03,West,Home,Partner,9,538.28,0.225,38037.836231310204,
2024-01-04,East,Toys,Partner,7,702.59,0.041,4918.16,2.0
2024-01-05,North,Grocery,Retail,7,501.81,0.205,3512.66,1.0
2024-01-06,West,Grocery,Partner,8,530.42,0.147,4243.36,4.0
2024-01-07,West,Home,Retail,9,335.98,0.005,36243.058772343385,3.0
2024-01-08,West,Electronics,Partner,13,559.55,0.082,7274.13,3.0
2024-01-09,North,Apparel,Online,7,509.06,0.287,3563.41,5.0
2024-01-10,South,Toys,Partner,13,243.68,0.095,3167.86,2.0
2024-01-11,South,Electronics,Retail,7,393.86,0.054,2756.99,3.0
2024-01-12,West,Toys,Partner,13,488.04,0.056,6344.53,4.0
2024-01-13,East,Grocery,Retail,5,769.63,,3848.17,4.0
2024-01-14,West,Apparel,Partner,6,634.13,0.253,3804.79,2.0
2024-01-15,South,Grocery,Online,12,401.37,0.227,4816.48,4.0
2024-01-16,North,Toys,Online,12,537.32,0.131,6447.82,4.0
2024-01-17,East,Electronics,Retail,7,506.63,0.063,3546.42,
2024-01-18,North,Electronics,Partner,8,469.56,,3756.5,1.0
2024-01-19,West,Grocery,Partner,7,337.64,0.139,2363.45,4.0
2024-01-20,East,Toys,Retail,11,477.34,0.244,5250.76,1.0
2024-01-21,West,Electronics,Retail,8,388.09,0.219,3104.68,
2024-01-22,South,Grocery,Retail,9,249.96,0.123,2249.66,1.0
2024-01-23,West,Electronics,Partner,7,576.68,0.178,4036.78,5.0
2024-01-24,West,Grocery,Retail,16,558.69,0.131,8939.04,4.0
2024-01-25,West,Grocery,Retail,6,231.99,0.174,1391.96,3.0
2024-01-26,North,Electronics,Partner,7,481.6,0.155,3371.18,2.0
2024-01-27,South,Grocery,Online,8,519.48,0.204,4155.87,2.0
2024-01-28,North,Toys,Partner,9,658.88,0.152,5929.95,4.0
2024-01-29,North,Toys,Online,11,653.88,0.282,7192.63,4.0
2024-01-30,East,Electronics,Online,9,505.84,0.128,43303.025399536404,2.0
2024-01-31,East,Apparel,Partner,10,373.24,0.005,3732.43,3.0
2024-02-01,West,Apparel,Partner,9,337.45,0.071,3037.01,5.0
2024-02-02,South,Home,Partner,17,441.35,0.15,7502.99,
2024-02-03,South,Electronics,Partner,9,445.51,0.162,4009.62,4.0
2024-02-04,South,Toys,Retail,10,554.48,0.166,5544.8,1.0
2024-02-05,North,Grocery,Retail,7,665.0,0.214,4654.98,5.0
2024-02-06,North,Toys,Online,10,480.17,0.082,4801.66,1.0
2024-02-07,South,Electronics,Online,8,250.7,0.199,2005.56,2.0
2024-02-08,North,Electronics,Online,15,452.13,0.211,6782.01,
